Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Electric key,,0x02,0x6F,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xE0,Lock setting 1,Lock/unlock of main electric lock,"lock=0x41, unlock=0x42",-,unsigned char,1,-,mandatory,mandatory,mandatory,
0xE1,Lock setting 2,Lock/unlock of sub electric lock,"lock=0x41, unlock=0x42",-,unsigned char,1,-,optional,optional,-,
0xE2,Lock status of door guard,Lock status of door guard.,"lock=0x41, unlock=0x42",-,unsigned char,1,-,-,optional,-,
0xE3,Door open/close status,Open/close status of door,"open=0x41, close=0x42",-,unsigned char,1,-,-,optional,-,
0xE4,Occupant/ non-occupant status,Occupant/ non-occupant status of persons,"occupant=0x41, non-occupant=0x42",-,unsigned char,1,-,-,optional,-,
0xE5,Alarm status,Alarm status of electric lock,"normal (no alarm)=0x40, break open=0x41, door open=0x42, manual unlocked=0x43, tampered=0x44",-,unsigned char,1,-,-,optional,mandatory,
0xE6,Auto lock mode setting,Sets ON/OFF of auto lock mode and get the status,"ON=0x41, OFF=0x42",-,unsigned char,1,-,optional,optional,-,
