Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
LP gas meter,,0x02,0x83,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xE0,Integral gas consumption of metering data 1,This property indicates integral gas consumption in units of 0.0001 m3.,"0.0x005F5E0FF (0.9999,9999 m3)",0.0001 m3,unsigned long,4,-,-,mandatory,-,
0xE1,Integral gas consumption of metering data 2,This property indicates integral gas consumption in units of 0.001 m3.,"0.0x005F5E0FF (0.99999,999 m3)",0.001 m3,unsigned long,4,-,-,mandatory,-,
0xE2,Error detection statusof metering data,This property indicates status where meter detected metering data error.,Error detection status found = 0x41 Error detection status not found = 0x42,-,unsigned char,1,-,-,optional,mandatory,
0xE3,Security data 1,This property indicates security data to define security information on meter operation by bit allocation.,0.0xFFFFFFFF,-,unsigned long,4,-,-,optional,-,
0xE4,Security data 2,This property indicates security data to define security information on meter operation by bit allocation.,0.0xFFFFFFFF,-,unsigned long,4,-,-,optional,-,
0xE5,Center valve shut-off status,This property indicates status where gas shut-off valve of meter has been shut off by center.,Center valve shut-off status found = 0x41 Center valve shut-off status not found = 0x42,-,unsigned char,1,-,-,optional,mandatory,
0xE6,Center valve shut-off recovery permission setting status,This property indicates status where gas shut-off valve of meter has been shut off by center.,Center valve shut-off reset enable = 0x41 Center valve shut-off reset not enable = 0x42,-,unsigned char,1,-,-,optional,-,
0xE7,Emergency valve shut-off status,This property indicates status where gas shut-off valve of meter has been shut off.,Emergency valve shut-off status found = 0x41 Emergency valve shut-off status not found = 0x42,-,unsigned char,1,-,-,optional,-,
0xE8,Shut-off valve open/close status,This property indicates open/close status of shut-off valve.,Shut-off valve open status = 0x41 Shut-off valve close status = 0x42,-,unsigned char,1,-,-,optional,-,
0xE9,Residual volume control warning,This property indicates status as warning where residual volume is very small.,Residual volume control warning level 1 0x31 Residual volume control warning level 2 0x32 Residual volume control warning level 3 0x33 No residual volume control warning 0x42,-,unsigned char,1,-,-,optional,mandatory,
0xEA,Set value of residual volume control warning level 1,Sets “Small residual volume detection level 1”.,"0.0xFFFFFF (0.16,777,215)",liter,unsigned char × 3,3,-,optional,optional,-,
0xEB,Set value of residual volume control warning level 2,Sets “Small residual volume detection level 2”.,"0.0xFFFFFF (0.16,777,215)",liter,unsigned char × 3,3,-,optional,optional,-,
0xEC,Set value of residual volume control warning level 3,Sets “Small residual volume detection level 3”.,"0.0xFFFFFF (0.16,777,215)",liter,unsigned char ×3,3,-,optional,optional,-,
0xED,Slight leak timer value (gas flow rate continuation),This property indicates number of days on which gas flow rate is continued.,0.0xFD (0.253) (0 to 253 days),Day,unsigned char,1,-,-,optional,-,
0xEE,Slight leak timer value (without pressure increase),This property indicates number of days on which gas leak monitoring is performed without gas pressure increase.,0.0xFD (0.253) (0 to 253 days),Day,unsigned char,1,-,-,optional,-,
0xEF,Shut-off reason log,Defines log of reasons for gas shut-off by shut-off valve in 1 byte each with bits assigned. Shows the last three logs. Log 3: log 2: log 1,0xFF: 0xFF: 0xFF,-,unsigned char × 3,3,-,-,optional,-,
0xD0,Maximum value of supply pressure data,This property indicates maximum value of supply pressure data in units of 0.01 kPa.,0x0000.0xFFFD (0.655.33) (0.655.33 kPa),0.01 kPa,unsigned short,2,-,-,optional,-,
0xD1,Minimum value of supply pressure data,This property indicates minimum value of supply pressure data in units of 0.01 kPa.,0x0000.0xFFFD (0.655.33) (0.655.33 kPa),0.01 kPa,unsigned short,2,-,-,optional,-,
0xD2,Current value of supply pressure data,This property indicates current value of supply pressure data in units of 0.01 kPa.,0x0000.0xFFFD (0.655.33) (0.655.33 kPa),0.01 kPa,unsigned short,2,-,-,optional,-,
0xD3,Maximum value of block pressure data,This property indicates minimum value of supply pressure data in units of 0.01 kPa.,0x0000.0xFFFD (0.655.33) (0.655.33 kPa),0.01 kPa,unsigned short,2,-,-,optional,-,
0xD4,Minimum value of block pressure data,This property indicates minimum value of supply pressure data in units of 0.01 kPa.,0x0000.0xFFFD (0.655.33) (0.655.33 kPa),0.01 kPa,unsigned short,2,-,-,optional,-,
0xD5,Current value of block pressure data,This property indicates current value of block pressure data in units of 0.01 kPa.,0x0000.0xFFFD (0.655.33) (0.655.33 kPa),0.01 kPa,unsigned short,2,-,-,optional,-,
0xD6,Number of block pressure/supply pressure error days:time,This property indicates number of days on which block pressure/supply pressure errors occurred in 1 byte  each.,Number of block pressure error days: Number of supply pressure error days: Number of block pressure error times: Number of supply pressure error times,-,unsigned char × 4,4,-,-,optional,-,
0xD7,Test call setting,Performs test call operation setup.,Test call operation ON 0x41 Test call operation OFF 0x42,-,unsigned char,1,-,optional,optional,-,
