Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Earthquake sensor,,0x00,0x05,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This  property indicates  the  ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Detection threshold level,Specifies detection threshold level (8-step).,0x31.0x38,-,unsigned char,1,-,optional,optional,-,
0xB1,Earthquake occurrence status,This property indicates earthquake occurrence status.,Earthquake occurrence status found = 0x41 Earthquake occurrence status not found = 0x42,-,unsigned char,1,-,-,mandatory,mandatory,
0xBF,Earthquake occurrence status resetting,Resets earthquake occurrence status by setting 0x00.,Reset = 0x00,-,unsigned char,1,-,optional,-,-,
