Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Passage sensor,,0x00,0x27,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Detection threshold level,Specifies detection threshold level (8-step).,0x31.0x38,-,unsigned char,1,-,optional,optional,-,
0xBE,Passage detection hold time,This property indicates passage detection hold time in ms.,0x0000.0xFFFD (0.65533 ms),ms,unsigned char,2,-,optional,optional,-,
0xE0,Passage detection direction,This property indicates direction of passage (one of 8 different directions).,"0x30: No passage. 0x31 to 0x38: Direction of passage. 0x39: Passage detected but not located. Or, a sensor incapable of detecting passage direction was passed.",-,unsigned char,1,-,-,mandatory,mandatory,
