Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Distribution panel metering,,0x02,0x87,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",.,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Master rated capacity,This property indicates the rated capacity of the master circuit.,0x00–0xFD,A,unsigned char,1,-,-,optional,-,
0xB1,Number of measurement channels (simplex),This property indicates the number of simplex measurement channels.,"0x01–0xFC (1–252), 0xFD: Unknown",.,unsigned char,1,-,-,optional,-,
0xB2,Channel range specification for cumulative amount of electric power consumption measurement (simplex),This property is used to specify the range of acquisition by the measured cumulative amount of electric power consumption list (simplex).,"Byte 1: Acquisition start channel 0x01–0xFC (1–252), Byte 2: Range from the acquisition start channel (0x01–0x3C: 1–60)",.,unsigned char × 2,2,-,optional,optional,-,
0xB3,Measured cumulative amount of electric power consumption list (simplex),"This property indicates the measured cumulative amount of electric power consumption of a measurement channel specified by the property of ""Channel range specification for cumulative amount of electric power consumption measurement (simplex)"".","Byte 1: Acquisition start channel 0x01–0xFC (1–252), Byte 2: Range from the acquisition start channel (0x01–0x3C: 1–60), Byte 3 and later: Measured cumulative amount of electric power consumption 0x00000000–0x05F5E0FF (0–99,999,999), The unit shall follow EPC = 0xC2.",kWh,unsigned char + unsigned char + (unsigned long (Max) × 60),(Max) 242,-,-,optional,-,",
0xB4,Channel range specification for instantaneous current measurement (simplex),This property is used to specify the range of acquisition by the measured instantaneous current list (simplex).,"Byte 1: Acquisition start channel 0x01–0xFC (1–252), Byte 2: Range from the acquisition start channel (0x01–0x3C: 1–60)",.,unsigned char × 2,2,-,optional,optional,-,
0xB5,Measured instantaneous current list (simplex),"This property indicates the measured instantaneous current of a measurement channel specified by the property of ""Channel range specification for instantaneous current measurement (simplex)"".","Byte 1: Acquisition start channel 0x01–0xFC (1–252), Byte 2: Range from the acquisition start channel (0x01–0x3C: 1–60), Byte 3 and later: Measured instantaneous current 0x8001–0x7FFD (R phase): 0x8001–0x7FFD (T phase) (-3,276.7–3,276.5):(-3,276.7–3,276.5)""",0.1A,unsigned char + unsigned char + (signed short × 2 (Max) × 60),(Max) 242,-,-,optional,-,
0xB6,Channel range specification for instantaneous power consumption measurement (simplex),This property is used to specify the range of acquisition by the measured instantaneous power consumption list (simplex).,"Byte 1: Acquisition start channel 0x01–0xFC (1–252), Byte 2: Range from the acquisition start channel (0x01–0x3C: 1–60)",.,unsigned char × 2,2,-,optional,optional,-,
0xB7,Measured instantaneous power consumption list (simplex),"This property indicates the measured instantaneous power consumption of a measurement channel specified by the property of ""Channel range specification for instantaneous power consumption measurement (simplex)"".","Byte 1: Acquisition start channel 0x01–0xFC (1–252), Byte 2: Range from the acquisition start channel (0x01–0x3C: 1–60), Byte 3 and later: Measured instantaneous power consumption 0x80000001–0x7FFFFFFD (-2,147,483,647–2,147,483,645)""",W,unsigned char + unsigned char + (signed long (Max) × 60),(Max) 242,-,-,optional,-,,
0xB8,Number of measurement channels (duplex),This property indicates the number of duplex measurement channels.,"0x01–0xFC (1–252), 0xFD: Unknown",.,unsigned char,1,-,-,optional,-,
