Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Combination microwave oven(Electronic oven),,0x03,0xB8,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This  property  indicates  the  ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Door open/close status,Used to acquire the status (i.e. open or closed) of the door of the combination microwave oven.,"Door open = 0x41, door closed = 0x42",-,unsigned char,1,-,-,optional,-,
0xB1,Heating status,Used to acquire the status of the combination microwave oven.,Initial state = 0x40 Heating = 0x41 Heating suspended = 0x42 Reporting completion of heating cycle = 0x43 Setting = 0x44 Preheating = 0x45 Preheat temperature maintenance = 0x46 Heating temporarily stopped for manual cooking action = 0x47,-,unsigned char,1,-,-,optional,-,
0xB2,Heating setting,"Used to specify whether to start, stop or suspend heating, and to acquire the current setting (i.e. current heating status).",Start/restart heating (heating started/restarted) = 0x41 Suspend heating (heating suspended) = 0x42 Stop heating (heating stopped) = 0x43,-,unsigned char,1,-,optional,optional,-,
0xE0,Heating mode setting,"Used to specify the heating mode of the combination microwave oven, and to acquire the current setting (i.e. current mode).",Microwave heating = 0x41 Defrosting = 0x42 Oven = 0x43 Grill = 0x44 Toaster = 0x45 Fermenting = 0x46 Stewing = 0x47 Steaming = 0x48 Two-stage microwave heating = 0x51 No mode specified = 0xFF,-,unsigned char,1,-,optional,optional,-,
0xE1,Automatic heating setting,"Used to specify whether or not to use the combination microwave oven’s automatic heating mode, and to acquire the current setting.",Automatic = 0x41 Manual = 0x42 Not specified = 0xFF,-,unsigned char,1,-,optional,optional,-,
0xE2,Automatic heating level setting,"Used to specify, by selecting a level from among the five predefined levels, the level of automatic heating for the option specified by the “automatic heating menu setting” property, and to acquire the current setting.",0x31.0x35 (lowest to highest) Not specified = 0xFF,-,unsigned cha,1,-,optional,optional,-,
0xD0,Automatic heating menu setting,"Used, when the value of the “automatic heating setting” property is 0x41 (= automatic heating), to select an automatic heating cycle, and to acquire the current setting.",0 to 0xFE: Automatic heating cycle code (See the automatic heating cycle code table in the subsection entitled “Automatic heating menu setting.”) No automatic heating cycle specified = 0xFF,-,unsigned cha,1,-,optional,optional,-,
0xD1,Oven mode setting,"Used, when the value of the “heating mode setting” property (EPC = 0xE0) is 0x43 (= oven), to specify the sub-mode to use, and to acquire the current setting.",Automatic selection mode = 0x40 Convection oven mode = 0x41 Circulation oven mode = 0x42 Hybrid oven mode = 0x43 No sub-mode specified = 0xFF,-,unsigned cha,1,-,optional,optional,-,
0xD5,Oven preheating setting,"Used, when the value of the “heating mode setting” property (EPC = 0xE0) is 0x43 (oven), to specify whether or not to preheat the chamber for the selected oven sub-mode, and to acquire the current setting.",With preheating = 0x41 Without preheating = 0x42 Not specified = 0xFF,-,unsigned char,1,-,optional,optional,-,
