Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Activity amount sensor,,0x00,0x2A,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This  property  indicates  the  ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xE0,Activity amount level 1,This property indicates 8 different activity mount levels. The array element number represents a human body ID.,0x31.0x38,-,unsigned char × max 128,<= 128,-,-,mandatory,-,
0xE1,Maximum number of human body ID's,This property indicates maximum number of human body IDs that can be registered for activity amount level 1.,0x0001.0x0080 (= 1.128),-,unsigned short,2,-,-,optional,-,
0xE2,Activity amount level 2,This property indicates 8 different activity amount levels.,0x31.0x38,-,unsigned char,1,-,-,mandatory,-,
0xE3,Human body existence information,Array element number information retained by activity amount level 1.,(See (5) below for details.),-,unsigned char × 16,16,-,-,optional,-,
