Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Home air conditioner,,0x01,0x30,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,mandatory,mandatory,mandatory,
0xB0,Operation mode setting,"Used to specify the operation mode (“automatic,” “cooling,” “heating,” “dehumidification,” “air circulator” or “other”), and to acquire the current setting.",The following values shall be used: Automatic: 0x41 Cooling: 0x42 Heating: 0x43 Dehumidification: 0x44 Air circulator: 0x45 Other: 0x40,-,unsigned char,1,-,mandatory,mandatory,mandatory,
0xB1,Automatic temperature control setting,"Used to specify whether or not to use the automatic temperature control function, and to acquire the current setting.",Automatic = 0x41 Non-automatic = 0x42,-,unsigned char,1,-,optional,optional,-,
0xB2,Normal/high- speed/silent operation setting,"Used to specify the type of operation (“normal,” “high-speed” or “silent”), and to acquire the current setting.",Normal operation: 0x41 High-speed operation: 0x42 Silent operation: 0x43,-,unsigned char,1,-,optional,optional,-,
0xB3,Set temperature value,Used to set the temperature and to acquire the current setting.,0x00.0x32 (0.50°C),°C,unsigned char,1,-,mandatory,mandatory,-,
0xB4,Set value of relative humidity in dehumidifying mode,Used to set the relative humidity for the “dehumidification” mode and to acquire the current setting.,0x00.0x64 (0.100%),%,unsigned char,1,-,optional,optional,-,
0xB5,Set temperature value in cooling mode,Used to set the temperature for the “cooling” mode and to acquire the current setting.,0x00.0x32 (0.50°C),°C,unsigned char,1,-,optional,optional,-,
0xB6,Set temperature value in heating mode,Used to set the temperature for the “heating” mode and to acquire the current setting.,0x00.0x32 (0.50°C),°C,unsigned char,1,-,optional,optional,-,
0xB7,Set temperature value in dehumidifying mode,Used to set the temperature for the “dehumidification” mode and to acquire the current setting.,0x00.0x32 (0.50°C),°C,unsigned char,1,-,optional,optional,-,
0xB8,Rated power consumption,Rated power consumption in each operation mode of cooling/heating/dehumidifying/blast,0x0000.0xFFFD (0.65533W) Cooling: heating: dehumidifying: blast,W,unsigned short × 4,8,-,-,optional,-,
0xB9,Measured value of current consumption,Measured value of current consumption,0x0000.0xFFFD (0.6553.3A),0.1A,unsigned short,2,-,-,optional,-,
0xBA,Measured value of room relative humidity,Measured value of room relative humidity,0x00.0x64 (0.100°C),%,unsigned char,1,-,-,optional,-,
0xBB,Measured value of room temperature,Measured value of room temperature,0x80.0x7D (-127.125°C),°C,signed char,1,-,-,optional,-,
0xBC,Set temperature value of user remote control,Set temperature value of user remote control,0x00.0x32 (0.50°C),°C,unsigned char,1,-,-,optional,-,
0xBD,Measured cooled air temperature,This property indicates the measured cooled air temperature at the outlet.,0x81.0x7D (-127.125°C),°C,signed char,1,-,-,optional,-,
0xBE,Measured outdoor air temperature,This property indicates the measured outdoor air temperature.,0x81.0x7D (-127.125°C),°C,signed char,1,-,-,optional,-,
0xBF,Relative temperature setting,"Used to set the relative temperature relative to the target temperature for an air conditioner operation mode, and to acquire the current setting.",0x81.0x7D (-12.7°C.12.5°C),0.1°C,unsigned char,1,-,optional,optional,-,
0xA0,Air flow rate setting,"Used to specify the air flow rate or use the function to automatically control the air flow rate, and to acquire the current setting. The air flow rate shall be selected from among the 8 predefined levels.",Automatic air flow rate control function used = 0x41 Air flow rate = 0x31.0x38,-,unsigned char,1,-,optional,optional,-,
0xA1,Automatic control of air flow direction setting,"Used to specify whether or not to use the automatic air flow direction control function, to specify the plane(s) (vertical and/or horizontal) in which the automatic air flow direction control function is to be used, and to acquire the current setting.","Automatic = 0x41, non-automatic = 0x42, automatic (vertical) = 0x43, automatic (horizontal) = 0x44",-,unsigned char,1,-,optional,optional,-,
0xA3,Automatic swing of air flow setting,"Used to specify whether or not to use the automatic air flow swing function, to specify the plane(s) (vertical and/or horizontal) in which the automatic air flow swing function is to be used, and to acquire the current setting.","Automatic air flow swing function not used = 0x31, used (vertical) = 0x41, used (horizontal) = 0x42, used (vertical and horizontal) = 0x43",-,unsigned char,1,-,optional,optional,-,
0xA4,Air flow direction (vertical) setting,"Used to specify the air flow direction in the vertical plane by selecting a pattern from among the 5 predefined patterns, and to acquire the current setting.","Uppermost = 0x41, lowermost = 0x42, central = 0x43, midpoint between uppermost and central = 0x44, midpoint between lowermost and central = 0x45",-,unsigned char,1,-,optional,optional,-,
0xA5,Air flow direction (horizontal) setting,"Used to specify the air flow direction(s) in the horizontal plane by selecting a pattern from among the 31 predefined patterns, and to acquire the current setting.","Rightward = 0x41, leftward = 0x42, central = 0x43, rightward and leftward = 0x44 (for a full list of the predefined patterns, see the table in the subsection defining the detailed requirements for this property.",-,unsigned char,1,-,optional,optional,-,
0xAA,Special state,"This property indicates if the air conditioner is in a “special” state (i.e. the “defrosting,” “preheating,” or “heat removal” state).","“Normal operation” state = 0x40, “Defrosting” state = 0x41, “Preheating” state = 0x42, “Heat removal” state = 0x43",-,unsigned char,1,-,-,optional,-,
0xAB,Non-priority state,Used to indicate when the air conditioner is in a “non-priority” state.,"“Normal operation” state = 0x40, “Non-priority” state = 0x41",-,unsigned char,1,-,-,optional,-,
0xC0,Ventilation function setting,"Used to specify whether or not to use the ventilation function, to specify the ventilation direction, and to acquire the current setting.","Ventilation function ON (outlet direction) = 0x41, ventilation function OFF = 0x42, ventilation function ON (intake direction) = 0x43",-,unsigned char,1,-,optional,optional,-,
0xC1,Humidifier function setting,"Used to specify whether or not to use the humidifier function, and to acquire the current setting.","Humidifier function ON = 0x41, Humidifier function OFF = 0x42",-,unsigned char,1,-,optional,optional,-,
0xC2,Ventilation air flow rate setting,"Used to specify the ventilation air flow rate by selecting a level from among the predefined levels, and to acquire the current setting.","Automatic control of ventilation air flow rate = 0x41, ventilation air flow rate = 0x31.0x38",-,unsigned char,1,-,optional,optional,-,
0xC4,Degree of humidification setting,"Used to specify the degree of humidification to achieve by selecting a level from among the predefined levels, and to acquire the current setting.",Automatic control of the degree of humidification = 0x41 Degree of humidification = 0x31.0x38,-,unsigned char,1,-,optional,optional,-,
0xC6,Mounted air cleaning method,A bitmap indicates mounted method of exercising air cleaning function.,Bit 0: Information about electrical dust collection method mounting 0 - Not mounted 1 - Mounted Bit 1: Information about cluster ion method mounting 0 - Not mounted 1 - Mounted,-,unsigned char,1,-,-,optional,-,
0xC7,Air purifier function setting,"An 8-byte array used to specify, for each type of air purifier function, whether or not to use the air purifier function and the degree of air purification to achieve with the air purifier function, and to acquire the current settings.",Element 0: Indicates whether or not to use the electrical dust collection-based air purifier function. Element 1: Indicates whether or not to use the cluster ion-based air purifier function. Elements 2 to 7: Reserved for future use.,-,unsigned char ×8,8,-,optional,optional,-,
0xC8,Mounted air refresh method,A bitmap indicates mounted method for exercising refresh function.,Bit 0: Information about minus ion method mounting 0 - Not mounted 1 - Mounted Bit 1: Information about cluster ion method mounting 0 - Not mounted 1 - Mounted,-,unsigned char,1,-,-,optional,-,
0xC9,Air refresher function setting,"An 8-byte array used to specify, for each type of air refresher function, whether or not to use the air refresher function and the degree of air refreshing to achieve with the air refresher function, and to acquire the current settings.",Element 0: Indicates whether or not to use the minus ion-based air refresher function. Element 1: Indicates whether or not to use the cluster ion-based air refresher function. Elements 2.7: Reserved for future use.,-,unsigned char × 8,8,-,optional,optional,-,
0xCA,Mounted self-cleaning method,A bitmap indicates mounted method for exercising self-cleaning function.,Bit 0: Information about ozone cleaning method mounting 0 - Not mounted 1 - Mounted Bit 1: Information about drying method mounting 0 - Not mounted 1 - Mounted,-,unsigned char,1,-,-,optional,-,
0xCB,Self-cleaning function setting,"An 8-byte array used to specify, for each type of self-cleaning function, whether or not to use the self-cleaning function and the degree of self-cleaning to achieve with the self-cleaning function, and to acquire the current settings.",Element 0: Indicates whether or not to use the ozone-based self-cleaning function. Element 1: Indicates whether or not to use the drying-based self-cleaning function. Elements 2.7: Reserved for future use.,-,unsigned char × 8,8,-,optional,optional,-,
0xCC,Special function setting,"Used to specify the “special function” to use, and to acquire the current setting.","No setting: 0x40, clothes dryer function: 0x41, condensation suppressor function: 0x42, mite and mold control function: 0x43, active defrosting function: 0x44 0x45. : Reserved for future use.",-,unsigned char,1,-,optional,optional,-,
0xCD,Operation status of components,This property indicates the operation status of components of the air conditioner in a bitmap format.,Bit 0: Operation status of the compressor: 0: Not operating 1: In operation Bit 1: Operation status of the thermostat: 0: Thermostat OFF 1: Thermostat ON Bits 2.7: Reserved for future use.,-,unsigned char,1,-,-,optional,-,
0xCE,Thermostat setting override function,Used to specify whether or not to allow the air conditioner to operate ignoring its thermostat setting.,"Normal setting = 0x40, thermostat setting override function ON = 0x41, thermostat setting override function OFF = 0x42",-,unsigned char,1,-,optional,-,-,
0xCF,Air purification mode setting,Used to set the air purification mode setting ON/OFF and to acquire the current setting.,"Air purification ON=0x41,OFF=0x42",-,unsigned char,1,-,optional,optional,-,
0x90,ON timer-based reservation setting,"Used to specify whether or not to use the ON timer (time-based reservation function, relative time-based reservation function or both), and to acquire the current setting.","Both the time- and relative time-based reservation functions are ON = 0x41, both reservation functions are OFF = 0x42, time-based reservation function is ON = 0x43, relative time-based reservation function is ON = 0x44",-,unsigned char,1,-,optional,optional,-,
0x91,ON timer setting (time),Used to specify the time for the time-based reservation function in the HH:MM format and to acquire the current setting.,0.0x17: 0.0x3B (= 0.23): (= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
0x92,ON timer setting (relative time),Used to specify the relative time for the relative time-based reservation function in the HH:MM format and to acquire the current setting.,0.0xFF: 0.0x3B (= 0.255): (= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
0x94,OFF timer-based reservation setting,"Used to specify whether or not to use the OFF timer (time-based reservation function, relative time-based reservation function or both), and to acquire the current setting.","Both the time- and relative time-based reservation functions are ON = 0x41, both reservation functions are OFF = 0x42, time-based reservation function is ON = 0x43, relative time-based reservation function is ON = 0x44",-,unsigned char,1,-,optional,optional,-,
0x95,OFF timer setting (time),Used to specify the time for the time-based reservation function in the HH:MM format and to acquire the current setting.,0.0x17: 0.0x3B (= 0.23): (= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
0x96,OFF timer setting (relative time),Used to specify the relative time for the relative time-based reservation function in the HH:MM format and to acquire the current setting.,0.0xFF: 0.0x3B (= 0.255): (= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
