Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Electrically operated shade,,0x02,0x60,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xE0,Open/close setting,Open/close,"Open = 0x41, close = 0x42",-,unsigned char,1,-,mandatory,mandatory,mandatory,
0xE1,Degree-of-openi ng level,"Used to specify the Degree-of-opening level by selecting a level from among the 8 predefined levels, and to acquire the current setting.",0x31 to 0x38,-,unsigned char,1,-,mandatory,mandatory,-,
0xE2,Set value of shade angle,Shade angle value,0x00.0xB4 (0.180.),deg,unsigned char,1,-,optional,optional,-,
0xE3,Shade open/close speed,Low/Medium/High,"Low = 0x41, Medium = 0x42, High = 0x43",-,unsigned char,1,-,optional,optional,-,
